"Country","Very important","Rather important","Not very important","Not at all important"
"Albania","27.5","31.2","25.2","14.2"
"Algeria","90.6","7.5","0.9","0"
"Argentina","46.3","26.3","18.2","8.6"
"Bangladesh","87.5","10.7","1.1","0.3"
"Bosnia Herzegovina","34","36.1","18.3","10.5"
"Canada","30.1","30.4","26.6","12.6"
"Chile","46.3","33.4","14.2","5.4"
"China","2.5","6.3","25.3","59.9"
"India","55.8","23.4","11.6","7.1"
"Indonesia","98.1","1.8","0.1","0"
"Iran","78.9","14.9","3.3","1.2"
"Iraq","93.5","5.2","0.6","0.2"
"Japan","6.4","13.1","31.6","36.4"
"Jordan","95.9","3.4","0.3","0.4"
"South Korea","23.2","28.9","31.3","16.4"
"Kyrgyzstan","31.6","37.5","24.2","6"
"Mexico","67.7","19.8","8.9","3.1"
"Moldova","33.9","39.5","17.7","5.2"
"Morocco","95.6","3.6","0.6","0.2"
"Nigeria","92.8","6.1","0.7","0.2"
"Pakistan","81.8","13.1","4.6","0.5"
"Peru","52.5","31.4","13.9","2.1"
"Philippines","86.8","10.6","2.3","0.3"
"Puerto Rico","75.4","18.1","5","1.2"
"Saudi Arabia","88.7","8.7","1.7","0.5"
"Singapore","35.9","35","22.3","6.7"
"Vietnam","9.7","22.8","47.1","17.2"
"South Africa","69.7","21.8","5.3","3.1"
"Zimbabwe","77.6","14.3","5.6","2.4"
"Spain","21.9","27.3","30.9","19.3"
"Sweden","10.6","24.2","42.3","22.2"
"Turkey","80.3","13.1","3.7","2.7"
"Uganda","73.5","21.3","3.9","1.2"
"Macedonia","47","30.2","15.2","6.2"
"Egypt","97.3","2.5","0.1","0"
"Tanzania","77.8","9.5","3.2","0.9"
"United States","56.9","25.4","12.4","4.9"
"Venezuela","63.8","23","7.9","5"
"Serbia","28.7","39.1","24.4","6.2"
"Montenegro","18.9","45","30.5","3.6"
