"Country","Very important","Rather important","Not very important","Not at all important"
"Albania","79.7","15.8","2","1.5"
"Azerbaijan","53.3","36.3","7.5","1.5"
"Argentina","70.3","26.4","2.3","0.9"
"Australia","50.8","35.4","8.9","4"
"Bangladesh","83.1","15.9","0.6","0.1"
"Armenia","66.8","26.8","5.5","0.6"
"Bulgaria","52","31.4","7.7","5.1"
"Belarus","46.7","36.7","10.4","3.5"
"Chile","64.3","27.8","4.7","0.9"
"China","63.9","27.3","5.6","1"
"Taiwan","44.4","45.8","8.1","1.2"
"Colombia","71.8","27.1","0.9","0.1"
"Croatia","54.3","36.2","7.4","1.4"
"Czech Rep.","48.9","35.2","10.3","4.7"
"Dominican Rep.","63.1","29.3","2.6","1"
"El Salvador","94.8","3.3","1","0.6"
"Estonia","59.7","32.1","4.7","1.9"
"Finland","48.5","37.4","7.6","4.7"
"Georgia","57.8","21.6","10.5","9.1"
"Germany","50.3","36.3","9.2","3.2"
"Hungary","50.5","36.2","9.8","3.2"
"India","82.4","14.8","1.6","0.6"
"Japan","53.5","34","7.8","1.6"
"South Korea","57.5","33.6","6","1.7"
"Latvia","56.1","34.4","5.9","2.9"
"Lithuania","45.6","44.3","8","1.2"
"Mexico","61","29.5","7.1","1"
"Moldova","52","32.9","7.1","5.7"
"New Zealand","45","40.6","6","3"
"Nigeria","86.9","10.3","1.3","1.1"
"Norway","58.8","34.5","4.4","2.2"
"Pakistan","67.7","24.7","5.9","1"
"Peru","72.8","22.8","1.2","0.5"
"Philippines","83","14.7","1.5","0.7"
"Poland","63.3","30.4","3.1","2.3"
"Puerto Rico","74.3","21.6","2.9","0.9"
"Romania","58.8","34.6","5.3","0.9"
"Russia","48.6","34.1","9.4","6.4"
"Slovakia","47.1","41.6","6.9","3"
"Slovenia","54.9","39","5.1","1"
"South Africa","79.5","13.6","3.4","2.2"
"Spain","59.1","30.6","6.8","3.1"
"Sweden","64.6","29.2","2.9","2.1"
"Switzerland","46.5","41.7","7.8","2.5"
"Turkey","76","18.7","3.3","1.1"
"Ukraine","47.2","35.5","8.4","4.7"
"Macedonia","82","8.1","3.1","1.1"
"United States","55.2","30.5","8.1","5.5"
"Uruguay","70.3","24.5","3","1.3"
"Venezuela","94.2","3.9","1.2","0.4"
"Serbia","62.9","28.2","6.7","1.1"
"Montenegro","53.3","33.3","9.6","1.2"
"Bosnia","79.4","16.5","3.6","0.4"
